Number,TA_1_ID,TA_2_ID,TA 1 - Q1 Grade,TA 1 - Q2 Grade,TA 1 - Q3 Grade,TA 1 - Total Grade,TA 2 - Q1 Grade,TA 2 - Q2 Grade,TA 2 - Q3 Grade,TA 2 - Total Grade,Average Grade
854,TA_38,TA_51,20.0,12.5,19.0,51.5,19.5,15.0,19.75,54.25,52.875
855,TA_38,TA_48,0.0,11.0,9.5,20.5,0.0,6.0,9.0,15.0,17.75
856,TA_38,TA_46,14.0,0.0,4.0,18.0,12.0,0.0,3.0,15.0,16.5
857,TA_38,TA_33,15.0,12.0,7.0,34.0,13.0,13.0,6.0,32.0,33.0
858,TA_38,TA_48,11.5,13.0,6.5,31.0,10.0,12.0,10.0,32.0,31.5
859,TA_38,TA_51,12.5,13.5,8.0,34.0,10.0,12.0,8.75,30.75,32.375
860,TA_38,TA_48,16.5,15.0,10.0,41.5,13.0,14.0,10.0,37.0,39.25
861,TA_38,TA_46,21.0,9.0,21.0,51.0,19.0,9.5,17.0,45.5,48.25
862,TA_38,TA_48,19.0,14.0,15.0,48.0,18.0,14.0,16.0,48.0,48.0
863,TA_38,TA_51,9.5,13.0,2.0,24.5,5.5,12.0,2.0,19.5,22.0
864,TA_38,TA_48,19.0,11.5,14.0,44.5,13.0,9.0,10.0,32.0,38.25
865,TA_38,TA_46,20.0,10.5,5.0,35.5,17.0,10.0,5.0,32.0,33.75
866,TA_38,TA_48,13.0,10.5,9.5,33.0,11.0,8.0,5.0,24.0,28.5
867,TA_38,TA_51,16.5,1.0,2.0,19.5,16.0,1.0,2.0,19.0,19.25
868,TA_38,TA_33,20.0,11.0,10.0,41.0,19.5,12.0,9.0,40.5,40.75
869,TA_38,TA_48,13.5,13.0,5.5,32.0,13.0,13.5,4.0,30.5,31.25
870,TA_38,TA_46,15.0,14.0,20.5,49.5,13.0,12.5,15.0,40.5,45.0
871,TA_38,TA_48,16.5,11.5,6.0,34.0,11.0,12.0,6.0,29.0,31.5
872,TA_38,TA_51,12.0,12.5,17.0,41.5,12.0,14.0,10.75,36.75,39.125
873,TA_38,TA_48,11.5,9.5,0.0,21.0,7.0,7.0,0.0,14.0,17.5
874,TA_38,TA_46,11.5,13.0,18.0,42.5,10.0,13.0,14.0,37.0,39.75
